"Date","AAPL","MSFT","SPY"
2007-01-03,83.8,29.86,141.37
2007-01-04,85.66,29.81,141.67
2007-01-05,85.05,29.64,140.54
2007-01-08,85.47,29.93,141.19
2007-01-09,92.57,29.96,141.07
2007-01-10,97,29.66,141.54
2007-01-11,95.8,30.7,142.16
2007-01-12,94.62,31.21,143.24
2007-01-16,97.1,31.16,142.96
2007-01-17,94.95,31.1,143.02
2007-01-18,89.07,31,142.54
2007-01-19,88.5,31.11,142.82
2007-01-22,86.79,30.72,142.38
2007-01-23,85.7,30.74,142.8
2007-01-24,86.7,31.09,143.95
2007-01-25,86.25,30.45,142.26
2007-01-26,85.38,30.6,142.13
2007-01-29,85.94,30.53,142.05
2007-01-30,85.55,30.48,142.79
2007-01-31,85.73,30.86,143.75
2007-02-01,84.74,30.56,144.61
2007-02-02,84.75,30.19,144.81
2007-02-05,83.94,29.61,144.85
2007-02-06,84.15,29.51,144.89
2007-02-07,86.15,29.37,145.21
2007-02-08,86.18,29.26,145.02
2007-02-09,83.27,28.98,143.94
2007-02-12,84.88,28.94,143.45
2007-02-13,84.7,29.01,144.66
2007-02-14,85.3,29.4,145.61
2007-02-15,85.21,29.46,145.8
2007-02-16,84.83,28.74,145.73
2007-02-20,85.9,28.83,146.04
2007-02-21,89.2,29.35,145.98
2007-02-22,89.51,29.39,145.87
2007-02-23,89.07,28.9,145.3
2007-02-26,88.51,29.07,145.17
2007-02-27,83.93,27.87,139.5
2007-02-28,84.61,28.17,140.93
2007-03-01,87.06,28.09,140.51
2007-03-02,85.41,27.76,138.67
2007-03-05,86.32,27.55,137.35
2007-03-06,88.19,27.83,139.7
2007-03-07,87.72,27.61,139.56
2007-03-08,88,27.32,140.74
2007-03-09,87.97,27.29,140.78
2007-03-12,89.87,27.44,140.99
2007-03-13,88.4,26.72,138.25
2007-03-14,90,27.4,139.28
2007-03-15,89.57,27.28,139.47
2007-03-16,89.59,27.33,138.53
2007-03-19,91.13,27.83,140.2
2007-03-20,91.48,27.84,140.97
2007-03-21,93.87,28.52,143.29
2007-03-22,93.96,28.27,143.18
2007-03-23,93.52,28.02,143.39
2007-03-26,95.85,28.22,143.2
2007-03-27,95.46,27.72,142.86
2007-03-28,93.24,27.64,141.82
2007-03-29,93.75,27.75,141.97
2007-03-30,92.91,27.87,142
2007-04-02,93.65,27.74,142.16
2007-04-03,94.5,27.87,143.69
2007-04-04,94.27,28.5,143.85
2007-04-05,94.68,28.55,144.24
2007-04-09,93.65,28.57,144.44
2007-04-10,94.25,28.4,144.61
2007-04-11,92.59,28.11,144.02
2007-04-12,92.19,28.54,144.66
2007-04-13,90.24,28.61,145.32
2007-04-16,91.43,28.73,146.7
2007-04-17,90.35,28.85,147.09
2007-04-18,90.4,28.6,147.27
2007-04-19,90.27,28.69,147.23
2007-04-20,90.97,29.02,148.62
2007-04-23,93.51,28.78,148.06
2007-04-24,93.24,28.79,148.12
2007-04-25,95.35,28.99,149.48
2007-04-26,98.84,29.1,149.65
2007-04-27,99.92,30.12,149.53
2007-04-30,99.8,29.94,148.29
2007-05-01,99.47,30.4,148.67
2007-05-02,100.39,30.61,149.54
2007-05-03,100.4,30.97,150.35
2007-05-04,100.81,30.56,150.92
2007-05-07,103.92,30.71,150.95
2007-05-08,105.06,30.75,150.75
2007-05-09,106.88,30.78,151.16
2007-05-10,107.34,30.58,149.58
2007-05-11,108.74,30.89,150.86
2007-05-14,109.36,30.97,150.53
2007-05-15,107.52,30.9,150.57
2007-05-16,107.34,31.07,151.6
2007-05-17,109.44,30.98,151.3
2007-05-18,110.02,30.83,152.62
2007-05-21,111.98,31.05,152.54
2007-05-22,113.54,30.69,152.42
2007-05-23,112.89,30.58,152.44
2007-05-24,110.69,30.17,151.06
2007-05-25,113.62,30.48,151.69
2007-05-29,114.35,30.79,152.24
2007-05-30,118.77,31.11,153.48
2007-05-31,121.19,30.69,153.32
2007-06-01,118.4,30.59,154.08
2007-06-04,121.33,30.72,154.1
2007-06-05,122.67,30.58,153.49
2007-06-06,123.64,30.29,151.84
2007-06-07,124.07,29.62,149.1
2007-06-08,124.49,30.05,151.04
2007-06-11,120.19,30.02,151.3
2007-06-12,120.38,29.85,149.65
2007-06-13,117.5,30.39,151.89
2007-06-14,118.75,30.52,152.86
2007-06-15,120.5,30.49,153.07
2007-06-18,125.09,30.51,152.89
2007-06-19,123.66,30.46,153.27
2007-06-20,121.55,30.01,151.14
2007-06-21,123.9,30.22,151.98
2007-06-22,123,29.49,150.55
2007-06-25,122.34,29.49,149.83
2007-06-26,119.65,29.52,148.29
2007-06-27,121.89,29.87,150.4
2007-06-28,120.56,29.83,150.38
2007-06-29,122.04,29.47,150.43
2007-07-02,121.26,29.74,151.79
2007-07-03,127.17,30.02,152.34
2007-07-05,132.75,29.99,152.18
2007-07-06,132.3,29.97,152.98
2007-07-09,130.33,29.87,153.1
2007-07-10,132.35,29.33,150.92
2007-07-11,132.39,29.49,151.99
2007-07-12,134.07,30.07,154.39
2007-07-13,137.73,29.82,154.85
2007-07-16,138.1,30.03,154.83
2007-07-17,138.91,30.78,154.75
2007-07-18,138.12,30.92,154.47
2007-07-19,140,31.51,155.07
2007-07-20,143.75,31.16,153.5
2007-07-23,143.7,31.19,153.97
2007-07-24,134.89,30.8,151.3
2007-07-25,137.26,30.71,151.61
2007-07-26,146,29.98,148.02
2007-07-27,143.85,29.39,145.11
2007-07-30,141.43,29.4,147.38
2007-07-31,131.76,28.99,145.72
2007-08-01,135,29.3,146.43
2007-08-02,136.49,29.52,147.6
2007-08-03,131.85,28.96,143.8
2007-08-06,135.25,29.54,146.21
2007-08-07,135.03,29.55,147.77
2007-08-08,134.01,30,149.83
2007-08-09,126.39,29.3,145.39
2007-08-10,125,28.71,144.71
2007-08-13,127.79,28.63,145.23
2007-08-14,124.03,28.27,143.01
2007-08-15,119.9,28.1,141.04
2007-08-16,117.05,27.81,142.1
2007-08-17,122.06,28.25,144.71
2007-08-20,122.22,28.26,144.64
2007-08-21,127.57,28.07,144.93
2007-08-22,132.51,28.22,146.65
2007-08-23,131.07,28.3,146.52
2007-08-24,135.3,28.81,148.33
2007-08-27,132.25,28.49,146.95
2007-08-28,126.82,27.93,143.72
2007-08-29,134.08,28.59,146.54
2007-08-30,136.25,28.45,146.15
2007-08-31,138.48,28.73,147.59
2007-09-04,144.16,28.81,149.08
2007-09-05,136.76,28.48,147.79
2007-09-06,135.01,28.91,148.13
2007-09-07,131.77,28.44,146.07
2007-09-10,136.71,28.48,145.79
2007-09-11,135.49,28.93,147.49
2007-09-12,136.85,28.93,147.87
2007-09-13,137.2,29.16,148.91
2007-09-14,138.81,29.04,148.9
2007-09-17,138.41,28.73,148.1
2007-09-18,140.92,28.93,152.46
2007-09-19,140.77,28.67,153.36
2007-09-20,140.31,28.42,152.28
2007-09-21,144.15,28.65,151.97
2007-09-24,148.28,29.08,151.69
2007-09-25,153.18,29.56,151.39
2007-09-26,152.77,29.5,152.19
2007-09-27,154.5,29.49,153.09
2007-09-28,153.47,29.46,152.58
2007-10-01,156.34,29.77,154.3
2007-10-02,158.45,29.7,154.09
2007-10-03,157.92,29.45,153.78
2007-10-04,156.24,29.71,154.02
2007-10-05,161.45,29.84,155.85
2007-10-08,167.91,29.84,155.02
2007-10-09,167.86,30.1,156.48
2007-10-10,166.79,30.23,156.22
2007-10-11,162.23,29.91,155.47
2007-10-12,167.25,30.17,156.33
2007-10-15,166.98,30.04,155.01
2007-10-16,169.58,30.32,153.78
2007-10-17,172.75,31.08,154.25
2007-10-18,173.5,31.16,153.69
2007-10-19,170.42,30.17,149.67
2007-10-22,174.36,30.51,150.54
2007-10-23,186.16,30.9,151.76
2007-10-24,185.93,31.25,151.48
2007-10-25,182.78,31.99,151.84
2007-10-26,184.7,35.03,153.62
2007-10-29,185.09,34.57,154.13
2007-10-30,187,35.57,153.06
2007-10-31,189.95,36.81,154.65
2007-11-01,187.44,37.06,151.03
2007-11-02,187.87,37.06,151.2
2007-11-05,186.18,36.73,150.05
2007-11-06,191.79,36.41,152.07
2007-11-07,186.3,35.52,147.91
2007-11-08,175.47,34.74,147.16
2007-11-09,165.37,33.73,145.14
2007-11-12,153.76,33.38,143.7
2007-11-13,169.96,34.46,148.08
2007-11-14,166.11,33.93,147.67
2007-11-15,164.3,33.76,145.54
2007-11-16,166.39,34.09,145.79
2007-11-19,163.95,33.96,143.76
2007-11-20,168.85,34.58,144.64
2007-11-21,168.46,34.23,141.68
2007-11-23,171.54,34.11,144.13
2007-11-26,172.54,32.97,140.95
2007-11-27,174.81,33.06,142.57
2007-11-28,180.22,33.7,147.13
2007-11-29,184.29,33.59,147.18
2007-11-30,182.22,33.6,148.66
2007-12-03,178.86,32.92,147.68
2007-12-04,179.81,32.77,146.36
2007-12-05,185.5,34.15,148.81
2007-12-06,189.95,34.55,150.94
2007-12-07,194.3,34.53,150.91
2007-12-10,194.21,34.76,152.08
2007-12-11,188.54,34.1,147.91
2007-12-12,190.86,34.47,149.37
2007-12-13,191.83,35.22,149.06
2007-12-14,190.39,35.31,147.17
2007-12-17,184.4,34.39,145.07
2007-12-18,182.98,34.74,145.88
2007-12-19,183.12,34.79,145.88
2007-12-20,187.21,35.52,146.8
2007-12-21,193.91,36.06,148.13
2007-12-24,198.8,36.58,149.23
2007-12-26,198.95,36.61,149.55
2007-12-27,198.57,35.97,147.67
2007-12-28,199.83,36.12,147.3
2007-12-31,198.08,35.6,146.21
2008-01-02,194.84,35.22,144.93
2008-01-03,194.93,35.37,144.86
2008-01-04,180.05,34.38,141.31
2008-01-07,177.64,34.61,141.19
2008-01-08,171.25,33.45,138.91
2008-01-09,179.4,34.44,140.37
2008-01-10,178.02,34.33,141.29
2008-01-11,172.69,33.91,140.15
2008-01-14,178.78,34.39,141.28
2008-01-15,169.04,34,138.17
2008-01-16,159.64,33.23,136.98
2008-01-17,160.89,33.11,133.43
2008-01-18,161.36,33.01,132.06
2008-01-22,155.64,31.96,130.72
2008-01-23,139.07,31.93,133.86
2008-01-24,135.6,33.25,134.99
2008-01-25,130.01,32.94,133.04
2008-01-28,130.01,32.72,135.24
2008-01-29,131.54,32.6,135.91
2008-01-30,132.18,32.2,134.91
2008-01-31,135.36,32.6,137.37
2008-02-01,133.75,30.45,139.58
2008-02-04,131.65,30.19,137.82
2008-02-05,129.36,29.07,134.13
2008-02-06,122,28.52,133.05
2008-02-07,121.24,28.12,133.93
2008-02-08,125.48,28.56,133.07
2008-02-11,129.45,28.21,133.75
2008-02-12,124.86,28.34,134.99
2008-02-13,129.4,28.96,136.37
2008-02-14,127.46,28.5,135.17
2008-02-15,124.63,28.42,135.14
2008-02-19,122.18,28.17,135.52
2008-02-20,123.82,28.22,135.92
2008-02-21,121.54,28.1,134.79
2008-02-22,119.46,27.68,135.62
2008-02-25,119.74,27.84,137.33
2008-02-26,119.15,28.38,138.36
2008-02-27,122.96,28.26,138.22
2008-02-28,129.91,27.93,136.87
2008-02-29,125.02,27.2,133.82
2008-03-03,121.73,26.99,133.5
2008-03-04,124.62,27.59,132.99
2008-03-05,124.49,28.12,133.83
